Team;TeamId;Link;PlayerId
Hull City;6;/player/199812/ryan-allsop/240028/;1
Hull City;6;/player/224099/lewie-coyle/240028/;2
Hull City;6;/player/236315/alfie-jones/240028/;3
Hull City;6;/player/248602/jacob-greaves/240028/;4
Hull City;6;/player/243608/ryan-giles/240028/;5
Hull City;6;/player/265459/tyler-morton/240028/;6
Hull City;6;/player/241953/regan-slater/240028/;7
Hull City;6;/player/256725/fabio-leandro-carvalho/240028/;8
Hull City;6;/player/261336/jaden-philogene/240028/;9
Hull City;6;/player/237286/aaron-connolly/240028/;10
Hull City;6;/player/260843/anass-zaroury/240028/;11
Hull City;6;/player/163050/billy-sharp/240028/;12
Hull City;6;/player/216451/jean-michael-seri/240028/;13
Hull City;6;/player/223154/ozan-tufan/240028/;14
Hull City;6;/player/225151/adama-traore/240028/;15
Hull City;6;/player/200778/cyrus-christie/240028/;16
Hull City;6;/player/241534/sean-mcloughlin/240028/;17
Hull City;6;/player/258585/ivor-pandur/240028/;18
Hull City;6;/player/231777/abdulkadir-omur/240028/;19
Hull City;6;/player/224842/greg-docherty/240028/;20
Hull City;6;/player/204502/matt-ingram/240028/;21
Hull City;6;/player/278708/tyrell-sellars-fleming/240028/;22
Hull City;6;/player/260264/noah-ohio/240028/;23
Hull City;6;/player/248692/matty-jacob/240028/;24
Hull City;6;/player/248569/james-furlong/240028/;25
Hull City;6;/player/278706/rocco-coyle/240028/;26
Hull City;6;/player/70248/stan-ashbee/240028/;27
Hull City;6;/player/252750/vaughn-covil/240028/;28
Hull City;6;/player/237933/brandon-fleming/240028/;29
Hull City;6;/player/259031/liam-delap/240028/;30
Norwich City;4;/player/216325/angus-gunn/240028/;31
Norwich City;4;/player/221282/jack-stacey/240028/;32
Norwich City;4;/player/192622/shane-duffy/240028/;33
Norwich City;4;/player/200408/ben-gibson/240028/;34
Norwich City;4;/player/236457/dimitris-giannoulis/240028/;35
Norwich City;4;/player/270571/gabriel-davi-gomes-sara/240028/;36
Norwich City;4;/player/201368/kenny-mclean/240028/;37
Norwich City;4;/player/266500/jonathan-rowe/240028/;38
Norwich City;4;/player/252929/borja-sainz-eguskiza/240028/;39
Norwich City;4;/player/256051/marcelino-nunez/240028/;40
Norwich City;4;/player/242075/josh-sargent/240028/;41
Norwich City;4;/player/186905/ashley-barnes/240028/;42
Norwich City;4;/player/234913/christian-fassnacht/240028/;43
Norwich City;4;/player/202017/onel-hernandez/240028/;44
Norwich City;4;/player/256620/liam-gibbs/240028/;45
Norwich City;4;/player/195037/danny-batth/240028/;46
Norwich City;4;/player/275988/kellen-fisher/240028/;47
Norwich City;4;/player/202199/george-long/240028/;48
Norwich City;4;/player/244601/sydney-van-hooijdonk/240028/;49
Norwich City;4;/player/246155/sam-mccallum/240028/;50
Norwich City;4;/player/248741/daniel-barden/240028/;51
Norwich City;4;/player/71163/kenneth-aboh/240028/;52
Norwich City;4;/player/277981/finley-welch/240028/;53
Norwich City;4;/player/278956/caleb-ansen/240028/;54
Norwich City;4;/player/277971/pedro-lima-barros/240028/;55
